I-J-K: 1-0-0, True, tested images: 0, ncex=0, covered=1, not_covered=0, d=0.0347999303777, 4:4-4
I-J-K: 1-0-1, True, tested images: 0, ncex=0, covered=2, not_covered=0, d=0.250675351612, 3:3-3
I-J-K: 1-0-2, True, tested images: 0, ncex=0, covered=3, not_covered=0, d=0.0664326049713, 0:0-0
I-J-K: 1-0-3, True, tested images: 0, ncex=0, covered=4, not_covered=0, d=0.035982015807, 6:6-6
I-J-K: 1-0-4, True, tested images: 0, ncex=0, covered=5, not_covered=0, d=0.0701878738962, 9:9-9
I-J-K: 1-0-5, True, tested images: 0, ncex=0, covered=6, not_covered=0, d=0.0580285122398, 9:9-9
I-J-K: 1-0-6, True, tested images: 0, ncex=0, covered=7, not_covered=0, d=0.160175073161, 3:3-3
I-J-K: 1-0-7, True, tested images: 0, ncex=0, covered=8, not_covered=0, d=0.0969495157406, 2:2-2
I-J-K: 1-0-8, True, tested images: 0, ncex=0, covered=9, not_covered=0, d=0.0663884017612, 1:1-1
I-J-K: 1-0-9, True, tested images: 0, ncex=0, covered=10, not_covered=0, d=0.0962915626708, 8:8-8
I-J-K: 1-0-10, True, tested images: 0, ncex=0, covered=11, not_covered=0, d=0.126652667397, 1:1-1
I-J-K: 1-0-11, True, tested images: 0, ncex=0, covered=12, not_covered=0, d=0.0554653228618, 2:2-2
I-J-K: 1-0-12, True, tested images: 0, ncex=0, covered=13, not_covered=0, d=0.125580647742, 0:0-0
I-J-K: 1-0-13, True, tested images: 0, ncex=0, covered=14, not_covered=0, d=0.0808111988147, 1:1-1
I-J-K: 1-0-14, True, tested images: 0, ncex=0, covered=15, not_covered=0, d=0.0554239515861, 4:4-4
I-J-K: 1-0-15, True, tested images: 0, ncex=0, covered=16, not_covered=0, d=0.0393454543028, 4:4-4
I-J-K: 1-0-16, True, tested images: 0, ncex=0, covered=17, not_covered=0, d=0.0433995481446, 9:9-9
I-J-K: 1-0-17, True, tested images: 0, ncex=0, covered=18, not_covered=0, d=0.0891867484214, 4:4-4
I-J-K: 1-0-18, True, tested images: 0, ncex=0, covered=19, not_covered=0, d=0.0698364161316, 1:1-1
I-J-K: 1-0-19, True, tested images: 0, ncex=0, covered=20, not_covered=0, d=0.0817427202055, 7:7-7
I-J-K: 1-0-20, True, tested images: 0, ncex=0, covered=21, not_covered=0, d=0.0751250314617, 9:9-9
I-J-K: 1-0-21, True, tested images: 0, ncex=1, covered=22, not_covered=0, d=0.0848387665572, 1:1-3
I-J-K: 1-0-22, True, tested images: 0, ncex=2, covered=23, not_covered=0, d=0.0790969667979, 9:9-4
I-J-K: 1-0-23, True, tested images: 0, ncex=2, covered=24, not_covered=0, d=0.0634380097898, 3:3-3
I-J-K: 1-0-24, True, tested images: 0, ncex=2, covered=25, not_covered=0, d=0.0722552412937, 9:9-9
I-J-K: 1-0-25, True, tested images: 0, ncex=2, covered=26, not_covered=0, d=0.0405996651333, 9:9-9
I-J-K: 1-0-26, True, tested images: 0, ncex=3, covered=27, not_covered=0, d=0.136984427573, 5:3-5
I-J-K: 1-0-27, True, tested images: 0, ncex=3, covered=28, not_covered=0, d=0.132467305083, 5:5-5
I-J-K: 1-0-28, True, tested images: 0, ncex=3, covered=29, not_covered=0, d=0.0837806702226, 9:9-9
I-J-K: 1-0-29, True, tested images: 0, ncex=3, covered=30, not_covered=0, d=0.183531766194, 0:0-0
I-J-K: 1-0-30, True, tested images: 0, ncex=4, covered=31, not_covered=0, d=0.12706788696, 2:2-8
I-J-K: 1-0-31, True, tested images: 0, ncex=4, covered=32, not_covered=0, d=0.0635290714227, 1:1-1
I-J-K: 1-0-32, True, tested images: 0, ncex=4, covered=33, not_covered=0, d=0.0102757202024, 4:4-4
I-J-K: 1-0-33, True, tested images: 0, ncex=4, covered=34, not_covered=0, d=0.185331891407, 3:3-3
I-J-K: 1-0-34, True, tested images: 0, ncex=4, covered=35, not_covered=0, d=0.0598437377088, 1:1-1
I-J-K: 1-0-35, True, tested images: 0, ncex=4, covered=36, not_covered=0, d=0.160364558879, 6:6-6
I-J-K: 1-0-36, True, tested images: 0, ncex=4, covered=37, not_covered=0, d=0.0444120186187, 2:2-2
I-J-K: 1-0-37, True, tested images: 0, ncex=4, covered=38, not_covered=0, d=0.150828909604, 4:4-4
I-J-K: 1-0-38, True, tested images: 0, ncex=5, covered=39, not_covered=0, d=0.140416837669, 7:7-8
I-J-K: 1-0-39, True, tested images: 0, ncex=5, covered=40, not_covered=0, d=0.157408818148, 2:2-2
I-J-K: 1-0-40, True, tested images: 0, ncex=5, covered=41, not_covered=0, d=0.1423077951, 2:2-2
I-J-K: 1-0-41, True, tested images: 0, ncex=5, covered=42, not_covered=0, d=0.046604096265, 7:7-7
I-J-K: 1-0-42, True, tested images: 0, ncex=5, covered=43, not_covered=0, d=0.0361288445216, 3:3-3
I-J-K: 1-0-43, True, tested images: 0, ncex=5, covered=44, not_covered=0, d=0.103249902335, 3:3-3
I-J-K: 1-0-44, True, tested images: 0, ncex=5, covered=45, not_covered=0, d=0.0906570246578, 6:6-6
I-J-K: 1-0-45, True, tested images: 0, ncex=5, covered=46, not_covered=0, d=0.158889596607, 0:0-0
I-J-K: 1-0-46, True, tested images: 0, ncex=5, covered=47, not_covered=0, d=0.0620222148692, 4:4-4
I-J-K: 1-0-47, True, tested images: 0, ncex=6, covered=48, not_covered=0, d=0.117924237986, 7:2-9
I-J-K: 1-0-48, True, tested images: 0, ncex=6, covered=49, not_covered=0, d=0.169640055957, 8:8-8
I-J-K: 1-0-49, True, tested images: 0, ncex=7, covered=50, not_covered=0, d=0.109821758242, 1:1-8
I-J-K: 1-0-50, True, tested images: 0, ncex=7, covered=51, not_covered=0, d=0.0585381405154, 7:7-7
I-J-K: 1-0-51, True, tested images: 0, ncex=7, covered=52, not_covered=0, d=0.100873906696, 9:9-9
I-J-K: 1-0-52, True, tested images: 0, ncex=7, covered=53, not_covered=0, d=0.14412890601, 1:1-1
I-J-K: 1-0-53, True, tested images: 0, ncex=7, covered=54, not_covered=0, d=0.0852271911539, 8:8-8
I-J-K: 1-0-54, True, tested images: 0, ncex=7, covered=55, not_covered=0, d=0.0867560343435, 1:1-1
I-J-K: 1-0-55, True, tested images: 0, ncex=7, covered=56, not_covered=0, d=0.0638819034455, 4:4-4
I-J-K: 1-0-56, True, tested images: 0, ncex=7, covered=57, not_covered=0, d=0.0989834308953, 5:5-5
I-J-K: 1-0-57, True, tested images: 0, ncex=7, covered=58, not_covered=0, d=0.0957108881799, 3:3-3
I-J-K: 1-0-58, True, tested images: 0, ncex=7, covered=59, not_covered=0, d=0.0517264578795, 9:9-9
I-J-K: 1-0-59, True, tested images: 0, ncex=7, covered=60, not_covered=0, d=0.074329030624, 6:6-6
I-J-K: 1-0-60, True, tested images: 0, ncex=7, covered=61, not_covered=0, d=0.0784844053288, 1:1-1
I-J-K: 1-0-61, True, tested images: 0, ncex=7, covered=62, not_covered=0, d=0.0889244058365, 1:1-1
I-J-K: 1-1-0, True, tested images: 0, ncex=7, covered=63, not_covered=0, d=0.0987989066962, 8:8-8
I-J-K: 1-1-1, True, tested images: 0, ncex=7, covered=64, not_covered=0, d=0.0857565009412, 9:9-9
I-J-K: 1-1-2, True, tested images: 0, ncex=7, covered=65, not_covered=0, d=0.00352970615287, 4:0-0
I-J-K: 1-1-3, True, tested images: 0, ncex=7, covered=66, not_covered=0, d=0.0803391517072, 9:9-9
I-J-K: 1-1-4, True, tested images: 0, ncex=7, covered=67, not_covered=0, d=0.046758063186, 1:1-1
I-J-K: 1-1-5, True, tested images: 0, ncex=7, covered=68, not_covered=0, d=0.0315359937922, 9:9-9
I-J-K: 1-1-6, True, tested images: 0, ncex=7, covered=69, not_covered=0, d=0.112829158686, 2:2-2
I-J-K: 1-1-7, True, tested images: 0, ncex=7, covered=70, not_covered=0, d=0.0697158832992, 1:1-1
I-J-K: 1-1-8, True, tested images: 0, ncex=7, covered=71, not_covered=0, d=0.0350741330152, 1:1-1
I-J-K: 1-1-9, True, tested images: 0, ncex=7, covered=72, not_covered=0, d=0.0598775321167, 8:8-8
I-J-K: 1-1-10, True, tested images: 0, ncex=8, covered=73, not_covered=0, d=0.271370481701, 3:3-0
I-J-K: 1-1-11, True, tested images: 0, ncex=8, covered=74, not_covered=0, d=0.0766987797656, 4:4-4
I-J-K: 1-1-12, True, tested images: 0, ncex=8, covered=75, not_covered=0, d=0.0190235078526, 8:8-8
I-J-K: 1-1-13, True, tested images: 0, ncex=8, covered=76, not_covered=0, d=0.0888681029152, 4:4-4
I-J-K: 1-1-14, True, tested images: 0, ncex=8, covered=77, not_covered=0, d=0.0967854541982, 6:6-6
I-J-K: 1-1-15, True, tested images: 0, ncex=8, covered=78, not_covered=0, d=0.187005323392, 2:2-2
I-J-K: 1-1-16, True, tested images: 0, ncex=8, covered=79, not_covered=0, d=0.0664591986678, 3:3-3
I-J-K: 1-1-17, True, tested images: 0, ncex=8, covered=80, not_covered=0, d=0.0660680626876, 2:2-2
I-J-K: 1-1-18, True, tested images: 0, ncex=8, covered=81, not_covered=0, d=0.106199711655, 7:7-7
I-J-K: 1-1-19, True, tested images: 0, ncex=8, covered=82, not_covered=0, d=0.0977362347848, 7:7-7
I-J-K: 1-1-20, True, tested images: 0, ncex=8, covered=83, not_covered=0, d=0.0232897216212, 4:4-4
I-J-K: 1-1-21, True, tested images: 0, ncex=8, covered=84, not_covered=0, d=0.0465174474075, 7:7-7
I-J-K: 1-1-22, True, tested images: 0, ncex=8, covered=85, not_covered=0, d=0.0879360978642, 1:1-1
I-J-K: 1-1-23, True, tested images: 0, ncex=8, covered=86, not_covered=0, d=0.137594163626, 5:5-5
I-J-K: 1-1-24, True, tested images: 0, ncex=9, covered=87, not_covered=0, d=0.0891790388163, 5:5-8
I-J-K: 1-1-25, True, tested images: 0, ncex=9, covered=88, not_covered=0, d=0.0476879230764, 6:6-6
I-J-K: 1-1-26, True, tested images: 0, ncex=9, covered=89, not_covered=0, d=0.0710369992263, 6:6-6
I-J-K: 1-1-27, True, tested images: 0, ncex=9, covered=90, not_covered=0, d=0.0818670518742, 8:8-8
I-J-K: 1-1-28, True, tested images: 0, ncex=9, covered=91, not_covered=0, d=0.0345522142405, 4:4-4
I-J-K: 1-1-29, True, tested images: 0, ncex=9, covered=92, not_covered=0, d=0.12147801454, 2:2-2
I-J-K: 1-1-30, True, tested images: 0, ncex=9, covered=93, not_covered=0, d=0.162232712284, 8:8-8
I-J-K: 1-1-31, True, tested images: 0, ncex=9, covered=94, not_covered=0, d=0.0398200945893, 9:9-9
I-J-K: 1-1-32, True, tested images: 0, ncex=9, covered=95, not_covered=0, d=0.0483649168795, 1:1-1
I-J-K: 1-1-33, True, tested images: 0, ncex=9, covered=96, not_covered=0, d=0.104421521797, 9:9-9
I-J-K: 1-1-34, True, tested images: 0, ncex=9, covered=97, not_covered=0, d=0.0535934589636, 7:7-7
I-J-K: 1-1-35, True, tested images: 0, ncex=10, covered=98, not_covered=0, d=0.203574685045, 3:3-8
I-J-K: 1-1-36, True, tested images: 0, ncex=10, covered=99, not_covered=0, d=0.0440139705745, 4:4-4
I-J-K: 1-1-37, True, tested images: 0, ncex=10, covered=100, not_covered=0, d=0.11472720169, 7:7-7
I-J-K: 1-1-38, True, tested images: 0, ncex=10, covered=101, not_covered=0, d=0.0876464722302, 6:6-6
I-J-K: 1-1-39, True, tested images: 0, ncex=10, covered=102, not_covered=0, d=0.144366910537, 7:7-7
I-J-K: 1-1-40, True, tested images: 0, ncex=10, covered=103, not_covered=0, d=0.113348436869, 6:6-6
I-J-K: 1-1-41, True, tested images: 0, ncex=10, covered=104, not_covered=0, d=0.138502377386, 7:7-7
I-J-K: 1-1-42, True, tested images: 0, ncex=10, covered=105, not_covered=0, d=0.123257750844, 3:3-3
I-J-K: 1-1-43, True, tested images: 0, ncex=10, covered=106, not_covered=0, d=0.139745795813, 8:8-8
I-J-K: 1-1-44, True, tested images: 0, ncex=10, covered=107, not_covered=0, d=0.0679935456764, 0:0-0
I-J-K: 1-1-45, True, tested images: 0, ncex=10, covered=108, not_covered=0, d=0.102105838058, 9:9-9
I-J-K: 1-1-46, True, tested images: 0, ncex=10, covered=109, not_covered=0, d=0.0869664494086, 6:6-6
I-J-K: 1-1-47, True, tested images: 0, ncex=10, covered=110, not_covered=0, d=0.105093344075, 9:9-9
I-J-K: 1-1-48, True, tested images: 0, ncex=10, covered=111, not_covered=0, d=0.13364809749, 2:2-2
I-J-K: 1-1-49, True, tested images: 0, ncex=10, covered=112, not_covered=0, d=0.0819634278861, 5:5-5
I-J-K: 1-1-50, True, tested images: 0, ncex=10, covered=113, not_covered=0, d=0.105230968828, 6:6-6
I-J-K: 1-1-51, True, tested images: 0, ncex=10, covered=114, not_covered=0, d=0.0542909659702, 6:6-6
I-J-K: 1-1-52, True, tested images: 0, ncex=11, covered=115, not_covered=0, d=0.0973966974301, 0:0-6
I-J-K: 1-1-53, True, tested images: 0, ncex=11, covered=116, not_covered=0, d=0.183933962375, 8:8-8
I-J-K: 1-1-54, True, tested images: 0, ncex=11, covered=117, not_covered=0, d=0.0693164588026, 8:8-8
I-J-K: 1-1-55, True, tested images: 0, ncex=11, covered=118, not_covered=0, d=0.0767125540119, 7:7-7
I-J-K: 1-1-56, True, tested images: 0, ncex=11, covered=119, not_covered=0, d=0.173568316399, 9:3-3
I-J-K: 1-1-57, True, tested images: 0, ncex=11, covered=120, not_covered=0, d=0.0676239700244, 1:1-1
I-J-K: 1-1-58, True, tested images: 0, ncex=11, covered=121, not_covered=0, d=0.136453464737, 6:6-6
I-J-K: 1-1-59, True, tested images: 0, ncex=11, covered=122, not_covered=0, d=0.0549886349062, 7:7-7
I-J-K: 1-1-60, True, tested images: 0, ncex=11, covered=123, not_covered=0, d=0.173532258308, 2:2-2
I-J-K: 1-1-61, True, tested images: 0, ncex=11, covered=124, not_covered=0, d=0.0654529221513, 1:1-1
I-J-K: 1-2-0, True, tested images: 0, ncex=11, covered=125, not_covered=0, d=0.225023792237, 0:0-0
I-J-K: 1-2-1, True, tested images: 0, ncex=11, covered=126, not_covered=0, d=0.0472572375487, 1:1-1
I-J-K: 1-2-2, True, tested images: 0, ncex=11, covered=127, not_covered=0, d=0.174803189646, 6:6-6
I-J-K: 1-2-3, True, tested images: 0, ncex=11, covered=128, not_covered=0, d=0.0856432330748, 8:8-8
I-J-K: 1-2-4, True, tested images: 0, ncex=11, covered=129, not_covered=0, d=0.133393240896, 0:0-0
I-J-K: 1-2-5, True, tested images: 0, ncex=11, covered=130, not_covered=0, d=0.193081969566, 0:0-0
I-J-K: 1-2-6, True, tested images: 0, ncex=11, covered=131, not_covered=0, d=0.071581351465, 2:2-2
I-J-K: 1-2-7, True, tested images: 0, ncex=11, covered=132, not_covered=0, d=0.0770899065077, 5:5-5
I-J-K: 1-2-8, True, tested images: 0, ncex=11, covered=133, not_covered=0, d=0.0298694624171, 9:9-9
I-J-K: 1-2-9, True, tested images: 0, ncex=11, covered=134, not_covered=0, d=0.101815203684, 9:9-9
I-J-K: 1-2-10, True, tested images: 0, ncex=11, covered=135, not_covered=0, d=0.0971623197175, 6:6-6
I-J-K: 1-2-11, True, tested images: 0, ncex=11, covered=136, not_covered=0, d=0.0388570210266, 6:6-6
I-J-K: 1-2-12, True, tested images: 0, ncex=12, covered=137, not_covered=0, d=0.0864478581504, 9:9-3
I-J-K: 1-2-13, True, tested images: 0, ncex=12, covered=138, not_covered=0, d=0.136496123405, 2:2-2
I-J-K: 1-2-14, True, tested images: 0, ncex=12, covered=139, not_covered=0, d=0.115271564479, 5:5-5
I-J-K: 1-2-15, True, tested images: 0, ncex=12, covered=140, not_covered=0, d=0.0290742861926, 6:6-6
I-J-K: 1-2-16, True, tested images: 0, ncex=12, covered=141, not_covered=0, d=0.181032549596, 9:5-5
I-J-K: 1-2-17, True, tested images: 0, ncex=12, covered=142, not_covered=0, d=0.0284388054313, 4:4-4
I-J-K: 1-2-18, True, tested images: 0, ncex=13, covered=143, not_covered=0, d=0.135502374253, 6:6-8
I-J-K: 1-2-19, True, tested images: 0, ncex=13, covered=144, not_covered=0, d=0.169864566428, 0:0-0
I-J-K: 1-2-20, True, tested images: 0, ncex=13, covered=145, not_covered=0, d=0.112535793736, 0:0-0
I-J-K: 1-2-21, True, tested images: 0, ncex=14, covered=146, not_covered=0, d=0.0843612892947, 1:1-8
I-J-K: 1-2-22, True, tested images: 0, ncex=14, covered=147, not_covered=0, d=0.104030915088, 9:9-9
I-J-K: 1-2-23, True, tested images: 0, ncex=15, covered=148, not_covered=0, d=0.168911567829, 7:7-3
I-J-K: 1-2-24, True, tested images: 0, ncex=15, covered=149, not_covered=0, d=0.132098362865, 0:0-0
I-J-K: 1-2-25, True, tested images: 0, ncex=15, covered=150, not_covered=0, d=0.0764982824838, 1:1-1
I-J-K: 1-2-26, True, tested images: 0, ncex=15, covered=151, not_covered=0, d=0.143051024391, 4:4-4
I-J-K: 1-2-27, True, tested images: 0, ncex=15, covered=152, not_covered=0, d=0.0638758983504, 5:5-5
I-J-K: 1-2-28, True, tested images: 0, ncex=15, covered=153, not_covered=0, d=0.0621619907823, 9:9-9
I-J-K: 1-2-29, True, tested images: 0, ncex=15, covered=154, not_covered=0, d=0.208175525281, 0:0-0
I-J-K: 1-2-30, True, tested images: 0, ncex=15, covered=155, not_covered=0, d=0.0931775637917, 8:8-8
I-J-K: 1-2-31, True, tested images: 0, ncex=15, covered=156, not_covered=0, d=0.0802003657004, 1:1-1
I-J-K: 1-2-32, True, tested images: 0, ncex=16, covered=157, not_covered=0, d=0.0123324303852, 1:1-8
I-J-K: 1-2-33, True, tested images: 0, ncex=16, covered=158, not_covered=0, d=0.233126331973, 0:0-0
I-J-K: 1-2-34, True, tested images: 0, ncex=16, covered=159, not_covered=0, d=0.109060310604, 6:6-6
I-J-K: 1-2-35, True, tested images: 0, ncex=16, covered=160, not_covered=0, d=0.0323359324656, 4:4-4
I-J-K: 1-2-36, True, tested images: 0, ncex=16, covered=161, not_covered=0, d=0.0549070322902, 5:5-5
I-J-K: 1-2-37, True, tested images: 0, ncex=16, covered=162, not_covered=0, d=0.0924280843967, 6:6-6
I-J-K: 1-2-38, True, tested images: 0, ncex=16, covered=163, not_covered=0, d=0.0962066825896, 8:8-8
I-J-K: 1-2-39, True, tested images: 0, ncex=16, covered=164, not_covered=0, d=0.0702584262406, 6:6-6
I-J-K: 1-2-40, True, tested images: 0, ncex=16, covered=165, not_covered=0, d=0.154517485482, 4:4-4
I-J-K: 1-2-41, True, tested images: 0, ncex=16, covered=166, not_covered=0, d=0.206254460011, 0:0-0
I-J-K: 1-2-42, True, tested images: 0, ncex=16, covered=167, not_covered=0, d=0.0648157093649, 8:8-8
I-J-K: 1-2-43, True, tested images: 0, ncex=16, covered=168, not_covered=0, d=0.0542816525502, 3:3-3
I-J-K: 1-2-44, True, tested images: 0, ncex=16, covered=169, not_covered=0, d=0.0259921726854, 1:1-1
I-J-K: 1-2-45, True, tested images: 0, ncex=16, covered=170, not_covered=0, d=0.278120363734, 0:0-0
I-J-K: 1-2-46, True, tested images: 0, ncex=16, covered=171, not_covered=0, d=0.0613331689082, 4:4-4
I-J-K: 1-2-47, True, tested images: 0, ncex=16, covered=172, not_covered=0, d=0.14634113038, 0:0-0
I-J-K: 1-2-48, True, tested images: 0, ncex=16, covered=173, not_covered=0, d=0.123452767964, 4:4-4
I-J-K: 1-2-49, True, tested images: 0, ncex=16, covered=174, not_covered=0, d=0.167339806878, 0:0-0
I-J-K: 1-2-50, True, tested images: 0, ncex=16, covered=175, not_covered=0, d=0.0618136895099, 8:8-8
I-J-K: 1-2-51, True, tested images: 0, ncex=16, covered=176, not_covered=0, d=0.0659866373969, 9:9-9
I-J-K: 1-2-52, True, tested images: 0, ncex=16, covered=177, not_covered=0, d=0.0507827942139, 8:8-8
I-J-K: 1-2-53, True, tested images: 0, ncex=16, covered=178, not_covered=0, d=0.112027136991, 4:4-4
I-J-K: 1-2-54, True, tested images: 0, ncex=16, covered=179, not_covered=0, d=0.0764992393766, 7:7-7
I-J-K: 1-2-55, True, tested images: 0, ncex=16, covered=180, not_covered=0, d=0.049355113709, 7:7-7
I-J-K: 1-2-56, True, tested images: 0, ncex=17, covered=181, not_covered=0, d=0.0517361447176, 1:1-8
I-J-K: 1-2-57, True, tested images: 0, ncex=17, covered=182, not_covered=0, d=0.160617191944, 2:2-2
I-J-K: 1-2-58, True, tested images: 0, ncex=17, covered=183, not_covered=0, d=0.245452960898, 0:0-0
I-J-K: 1-2-59, True, tested images: 0, ncex=17, covered=184, not_covered=0, d=0.106554017505, 3:3-3
I-J-K: 1-2-60, True, tested images: 0, ncex=17, covered=185, not_covered=0, d=0.159205021065, 2:2-2
I-J-K: 1-2-61, True, tested images: 0, ncex=17, covered=186, not_covered=0, d=0.0874277252669, 7:7-7
I-J-K: 1-3-0, True, tested images: 0, ncex=17, covered=187, not_covered=0, d=0.00562604308552, 1:1-1
I-J-K: 1-3-1, True, tested images: 0, ncex=17, covered=188, not_covered=0, d=0.0518267608928, 8:8-8
I-J-K: 1-3-2, True, tested images: 0, ncex=17, covered=189, not_covered=0, d=0.0138305319669, 4:4-4
I-J-K: 1-3-3, True, tested images: 0, ncex=17, covered=190, not_covered=0, d=0.0639293904671, 7:7-7
I-J-K: 1-3-4, True, tested images: 0, ncex=17, covered=191, not_covered=0, d=0.092285931115, 4:4-4
I-J-K: 1-3-5, True, tested images: 0, ncex=17, covered=192, not_covered=0, d=0.0297351163815, 5:5-5
I-J-K: 1-3-6, True, tested images: 0, ncex=17, covered=193, not_covered=0, d=0.0944977470512, 7:7-7
I-J-K: 1-3-7, True, tested images: 0, ncex=17, covered=194, not_covered=0, d=0.11227594099, 4:4-4
I-J-K: 1-3-8, True, tested images: 0, ncex=17, covered=195, not_covered=0, d=0.0960917529819, 7:7-7
I-J-K: 1-3-9, True, tested images: 0, ncex=17, covered=196, not_covered=0, d=0.0996159338732, 8:8-8
I-J-K: 1-3-10, True, tested images: 0, ncex=17, covered=197, not_covered=0, d=0.055907731802, 1:1-1
I-J-K: 1-3-11, True, tested images: 0, ncex=17, covered=198, not_covered=0, d=0.101515137958, 6:6-6
I-J-K: 1-3-12, True, tested images: 0, ncex=17, covered=199, not_covered=0, d=0.0575437374069, 5:5-5
I-J-K: 1-3-13, True, tested images: 0, ncex=17, covered=200, not_covered=0, d=0.0643560159178, 2:2-2
I-J-K: 1-3-14, True, tested images: 0, ncex=17, covered=201, not_covered=0, d=0.0630472843015, 9:9-9
I-J-K: 1-3-15, True, tested images: 0, ncex=17, covered=202, not_covered=0, d=0.0340917164056, 1:1-1
I-J-K: 1-3-16, True, tested images: 0, ncex=17, covered=203, not_covered=0, d=0.049099041317, 0:0-0
I-J-K: 1-3-17, True, tested images: 0, ncex=17, covered=204, not_covered=0, d=0.0850460539177, 7:7-7
I-J-K: 1-3-18, True, tested images: 0, ncex=17, covered=205, not_covered=0, d=0.0987098249116, 0:0-0
I-J-K: 1-3-19, True, tested images: 0, ncex=17, covered=206, not_covered=0, d=0.0693794372539, 6:6-6
I-J-K: 1-3-20, True, tested images: 0, ncex=17, covered=207, not_covered=0, d=0.0635835985725, 8:8-8
I-J-K: 1-3-21, True, tested images: 0, ncex=17, covered=208, not_covered=0, d=0.0681620595421, 4:4-4
I-J-K: 1-3-22, True, tested images: 0, ncex=17, covered=209, not_covered=0, d=0.0387993926406, 1:1-1
I-J-K: 1-3-23, True, tested images: 0, ncex=17, covered=210, not_covered=0, d=0.0931869128264, 7:7-7
I-J-K: 1-3-24, True, tested images: 0, ncex=17, covered=211, not_covered=0, d=0.107541382232, 8:8-8
I-J-K: 1-3-25, True, tested images: 0, ncex=17, covered=212, not_covered=0, d=0.0729396327657, 8:8-8
I-J-K: 1-3-26, True, tested images: 0, ncex=17, covered=213, not_covered=0, d=0.0549408853882, 2:2-2
I-J-K: 1-3-27, True, tested images: 0, ncex=17, covered=214, not_covered=0, d=0.0421777439743, 4:4-4
I-J-K: 1-3-28, True, tested images: 0, ncex=17, covered=215, not_covered=0, d=0.0385022392669, 5:5-5
I-J-K: 1-3-29, True, tested images: 0, ncex=18, covered=216, not_covered=0, d=0.121632808879, 2:2-3
I-J-K: 1-3-30, True, tested images: 0, ncex=18, covered=217, not_covered=0, d=0.0763350089107, 2:2-2
I-J-K: 1-3-31, True, tested images: 0, ncex=18, covered=218, not_covered=0, d=0.0639550239983, 7:7-7
