I-J-K: 1-0-0, True, tested images: 0, ncex=1, covered=1, not_covered=0, d=0.0191400780511, 9:9-1
I-J-K: 1-0-1, True, tested images: 0, ncex=1, covered=2, not_covered=0, d=0.058246906405, 8:8-8
I-J-K: 1-0-2, True, tested images: 0, ncex=1, covered=3, not_covered=0, d=0.0238874494884, 2:2-2
I-J-K: 1-0-3, True, tested images: 0, ncex=1, covered=4, not_covered=0, d=0.0705831562364, 1:1-1
I-J-K: 1-0-4, True, tested images: 0, ncex=1, covered=5, not_covered=0, d=0.0708712753682, 6:6-6
I-J-K: 1-0-5, True, tested images: 0, ncex=2, covered=6, not_covered=0, d=0.125841497064, 7:7-3
I-J-K: 1-0-6, True, tested images: 0, ncex=2, covered=7, not_covered=0, d=0.0624574972246, 3:3-3
I-J-K: 1-0-7, True, tested images: 0, ncex=2, covered=8, not_covered=0, d=0.114249256326, 2:2-2
I-J-K: 1-0-8, True, tested images: 0, ncex=2, covered=9, not_covered=0, d=0.0254186549362, 7:7-7
I-J-K: 1-0-9, True, tested images: 0, ncex=2, covered=10, not_covered=0, d=0.101662356459, 3:3-3
I-J-K: 1-0-10, True, tested images: 0, ncex=2, covered=11, not_covered=0, d=0.0549535086787, 0:0-0
I-J-K: 1-0-11, True, tested images: 0, ncex=2, covered=12, not_covered=0, d=0.0512040260358, 3:3-3
I-J-K: 1-0-12, True, tested images: 0, ncex=2, covered=13, not_covered=0, d=0.0140322182491, 3:3-3
I-J-K: 1-0-13, True, tested images: 0, ncex=2, covered=14, not_covered=0, d=0.0370108500441, 5:5-5
I-J-K: 1-0-14, True, tested images: 0, ncex=2, covered=15, not_covered=0, d=0.0548912714254, 3:3-3
I-J-K: 1-0-15, True, tested images: 0, ncex=2, covered=16, not_covered=0, d=0.0583449178717, 4:4-4
I-J-K: 1-0-16, True, tested images: 0, ncex=2, covered=17, not_covered=0, d=0.0872863417041, 7:7-7
I-J-K: 1-0-17, True, tested images: 0, ncex=2, covered=18, not_covered=0, d=0.0313386164337, 9:9-9
I-J-K: 1-0-18, True, tested images: 0, ncex=2, covered=19, not_covered=0, d=0.022086118191, 4:4-4
I-J-K: 1-0-19, True, tested images: 0, ncex=2, covered=20, not_covered=0, d=0.063552270739, 3:3-3
I-J-K: 1-0-20, True, tested images: 0, ncex=2, covered=21, not_covered=0, d=0.100735113391, 8:8-8
I-J-K: 1-0-21, True, tested images: 0, ncex=2, covered=22, not_covered=0, d=0.154542852555, 9:9-9
I-J-K: 1-0-22, True, tested images: 0, ncex=2, covered=23, not_covered=0, d=0.0817684590117, 6:6-6
I-J-K: 1-0-23, True, tested images: 0, ncex=2, covered=24, not_covered=0, d=0.0948697500939, 6:6-6
